c1.cui	c1.name	c1.cui	c1.name	c1.diseaseClassName	c1.STY	c1.cui	c1.name	c2.geneId	c2.name	c2.geneId	c2.name	c2.uniprotId	c2.description	c2.pathName	c2.pantherName	c2.geneId	c2.name	c0.score	c0.diseaseId	c0.score	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.pmids
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	6834	SURF1	6834	SURF1	Q15526	surfeit 1	null	oxidoreductase	6834	SURF1	0.722782194830277	umls:C0023264	0.722782194830277	6834	0.722782194830277	umls:C0023264	6834	0.722782194830277	umls:C0023264	6834	0.722782194830277	52
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	1355	COX15	1355	COX15	Q7KZN9	cytochrome c oxidase assembly homolog 15 (yeast)	Metabolism	null	1355	COX15	0.602817132748993	umls:C0023264	0.602817132748993	1355	0.602817132748993	umls:C0023264	1355	0.602817132748993	umls:C0023264	1355	0.602817132748993	3
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	4723	NDUFV1	4723	NDUFV1	P49821	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	Metabolism	oxidoreductase	4723	NDUFV1	0.600895674786456	umls:C0023264	0.600895674786456	4723	0.600895674786456	umls:C0023264	4723	0.600895674786456	umls:C0023264	4723	0.600895674786456	4
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	4728	NDUFS8	4728	NDUFS8	O00217	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	Metabolism	null	4728	NDUFS8	0.600895674786456	umls:C0023264	0.600895674786456	4728	0.600895674786456	umls:C0023264	4728	0.600895674786456	umls:C0023264	4728	0.600895674786456	3
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	6389	SDHA	6389	SDHA	P31040	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	Metabolism	oxidoreductase	6389	SDHA	0.600298558262152	umls:C0023264	0.600298558262152	6389	0.600298558262152	umls:C0023264	6389	0.600298558262152	umls:C0023264	6389	0.600298558262152	3
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	4724	NDUFS4	4724	NDUFS4	O43181	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	Metabolism	null	4724	NDUFS4	0.404608482321905	umls:C0023264	0.404608482321905	4724	0.404608482321905	umls:C0023264	4724	0.404608482321905	umls:C0023264	4724	0.404608482321905	8
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	4540	ND5	4540	ND5	P03915	NADH dehydrogenase, subunit 5 (complex I)	Metabolism	oxidoreductase	4540	ND5	0.311771231208351	umls:C0023264	0.311771231208351	4540	0.311771231208351	umls:C0023264	4540	0.311771231208351	umls:C0023264	4540	0.311771231208351	13
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	4537	ND3	4537	ND3	P03897	NADH dehydrogenase, subunit 3 (complex I)	Metabolism	null	4537	ND3	0.309944189557738	umls:C0023264	0.309944189557738	4537	0.309944189557738	umls:C0023264	4537	0.309944189557738	umls:C0023264	4537	0.309944189557738	9
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	4508	ATP6	4508	ATP6	P00846	ATP synthase F0 subunit 6	Metabolism	null	4508	ATP6	0.308321289857354	umls:C0023264	0.308321289857354	4508	0.308321289857354	umls:C0023264	4508	0.308321289857354	umls:C0023264	4508	0.308321289857354	15
C0023264	Leigh Disease	C0023264	Leigh Disease	Nervous System Diseases;Congenital, Hereditary, and Neonatal Diseases and Abnormalities;Nutritional and Metabolic Diseases	Disease or Syndrome	C0023264	Leigh Disease	374291	NDUFS7	374291	NDUFS7	O75251	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	Metabolism	oxidoreductase	374291	NDUFS7	0.306529940284441	umls:C0023264	0.306529940284441	374291	0.306529940284441	umls:C0023264	374291	0.306529940284441	umls:C0023264	374291	0.306529940284441	5
