c1.cui	c1.name	c1.cui	c1.name	c1.diseaseClassName	c1.STY	c1.cui	c1.name	c2.geneId	c2.name	c2.geneId	c2.name	c2.uniprotId	c2.description	c2.pathName	c2.pantherName	c2.geneId	c2.name	c0.score	c0.diseaseId	c0.score	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.pmids
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	672	BRCA1	672	BRCA1	P38398	breast cancer 1, early onset	Cell Cycle; DNA Repair	ligase	672	BRCA1	0.063449941350997	umls:C0346153	0.063449941350997	672	0.063449941350997	umls:C0346153	672	0.063449941350997	umls:C0346153	672	0.063449941350997	275
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	675	BRCA2	675	BRCA2	P51587	breast cancer 2, early onset	Cell Cycle; DNA Repair	nucleic acid binding	675	BRCA2	0.0610716859463461	umls:C0346153	0.0610716859463461	675	0.0610716859463461	umls:C0346153	675	0.0610716859463461	umls:C0346153	675	0.0610716859463461	193
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	7157	TP53	7157	TP53	P04637	tumor protein p53	Apoptosis; Cell Cycle; Cellular responses to stress; Hemostasis; Signal Transduction	transcription factor	7157	TP53	0.00985242265101823	umls:C0346153	0.00985242265101823	7157	0.00985242265101823	umls:C0346153	7157	0.00985242265101823	umls:C0346153	7157	0.00985242265101823	33
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	11200	CHEK2	11200	CHEK2	O96017	checkpoint kinase 2	Cell Cycle	transferase; kinase	11200	CHEK2	0.00567260698088929	umls:C0346153	0.00567260698088929	11200	0.00567260698088929	umls:C0346153	11200	0.00567260698088929	umls:C0346153	11200	0.00567260698088929	19
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	79728	PALB2	79728	PALB2	Q86YC2	partner and localizer of BRCA2	DNA Repair	null	79728	PALB2	0.00567260698088929	umls:C0346153	0.00567260698088929	79728	0.00567260698088929	umls:C0346153	79728	0.00567260698088929	umls:C0346153	79728	0.00567260698088929	19
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	472	ATM	472	ATM	Q13315	ataxia telangiectasia mutated	Cell Cycle; Cellular responses to stress; DNA Repair	transferase; kinase; nucleic acid binding	472	ATM	0.00298558262152068	umls:C0346153	0.00298558262152068	472	0.00298558262152068	umls:C0346153	472	0.00298558262152068	umls:C0346153	472	0.00298558262152068	10
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	7248	TSC1	7248	TSC1	Q92574	tuberous sclerosis 1	Signal Transduction	null	7248	TSC1	0.00268702435936861	umls:C0346153	0.00268702435936861	7248	0.00268702435936861	umls:C0346153	7248	0.00268702435936861	umls:C0346153	7248	0.00268702435936861	9
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	2064	ERBB2	2064	ERBB2	P04626	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	Developmental Biology; Disease; Immune System; Signal Transduction	null	2064	ERBB2	0.00208990783506447	umls:C0346153	0.00208990783506447	2064	0.00208990783506447	umls:C0346153	2064	0.00208990783506447	umls:C0346153	2064	0.00208990783506447	7
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	2099	ESR1	2099	ESR1	P03372	estrogen receptor 1	Gene Expression; Signal Transduction	transcription factor; receptor; nucleic acid binding	2099	ESR1	0.00208990783506447	umls:C0346153	0.00208990783506447	2099	0.00208990783506447	umls:C0346153	2099	0.00208990783506447	umls:C0346153	2099	0.00208990783506447	7
C0346153	Breast Cancer, Familial	C0346153	Breast Cancer, Familial	Neoplasms;Skin and Connective Tissue Diseases	Neoplastic Process	C0346153	Breast Cancer, Familial	580	BARD1	580	BARD1	Q99728	BRCA1 associated RING domain 1	null	null	580	BARD1	0.00208990783506447	umls:C0346153	0.00208990783506447	580	0.00208990783506447	umls:C0346153	580	0.00208990783506447	umls:C0346153	580	0.00208990783506447	7
